"Procode","SpellStart","n"
"R0A",2020-06-11,780
"R0A",2020-06-12,758
"R0A",2020-06-13,499
"R0A",2020-06-14,266
"R0A",2020-06-15,841
"R0A",2020-06-16,827
"R0A",2020-06-17,827
"R0A",2020-06-18,830
"R0A",2020-06-19,787
"R0A",2020-06-20,511
"R0A",2020-06-21,269
"R0A",2020-06-22,851
"R0A",2020-06-23,839
"R0A",2020-06-24,881
"R0A",2020-06-25,837
"R0A",2020-06-26,836
"R0A",2020-06-27,541
"R0A",2020-06-28,284
"R0A",2020-06-29,862
"R0A",2020-06-30,859
"R0A",2020-07-01,853
"R0A",2020-07-02,835
"R0A",2020-07-03,784
"R0A",2020-07-04,517
"R0A",2020-07-05,264
"R0A",2020-07-06,839
"R0A",2020-07-07,876
"R0A",2020-07-08,842
"R0A",2020-07-09,869
"R0A",2020-07-10,826
"R0A",2020-07-11,540
"R0A",2020-07-12,268
"R0A",2020-07-13,835
"R0A",2020-07-14,954
"R0A",2020-07-15,928
"R0A",2020-07-16,907
"R0A",2020-07-17,836
"R0A",2020-07-18,518
"R0A",2020-07-19,307
"R0A",2020-07-20,892
"R0A",2020-07-21,943
"R0A",2020-07-22,940
"R0A",2020-07-23,950
"R0A",2020-07-24,906
"R0A",2020-07-25,536
"R0A",2020-07-26,317
"R0A",2020-07-27,905
"R0A",2020-07-28,976
"R0A",2020-07-29,989
"R0A",2020-07-30,910
"R0A",2020-07-31,803
"R0A",2020-08-01,587
"R0A",2020-08-02,293
"R0A",2020-08-03,943
"R0A",2020-08-04,994
"R0A",2020-08-05,968
"R0A",2020-08-06,947
"R0A",2020-08-07,931
"R0A",2020-08-08,543
"R0A",2020-08-09,280
"R0A",2020-08-10,955
"R0A",2020-08-11,993
"R0A",2020-08-12,1028
"R0A",2020-08-13,967
"R0A",2020-08-14,963
"R0A",2020-08-15,563
"R0A",2020-08-16,323
"R0A",2020-08-17,983
"R0A",2020-08-18,1021
"R0A",2020-08-19,994
"R0A",2020-08-20,1009
"R0A",2020-08-21,954
"R0A",2020-08-22,549
"R0A",2020-08-23,325
"R0A",2020-08-24,982
"R0A",2020-08-25,1045
"R0A",2020-08-26,980
"R0A",2020-08-27,981
"R0A",2020-08-28,972
"R0A",2020-08-29,577
"R0A",2020-08-30,336
"R0A",2020-08-31,581
"R0A",2020-09-01,1068
"R0A",2020-09-02,1032
"R0A",2020-09-03,1023
"R0A",2020-09-04,999
"R0A",2020-09-05,587
"R0A",2020-09-06,317
"R0A",2020-09-07,1037
"R0A",2020-09-08,1038
"R0A",2020-09-09,1044
"R0A",2020-09-10,1008
"R0A",2020-09-11,1033
