Trust Code,Trust Name,Commissioning Region,Trust Type,Site Code,Site Name,Site Type,Tenure,Leased,Post Code,Depreciation (£),PDC (£),Leases and rent (£),Rates (£),Interest on Capital (£),Other Estates and Facilities finance costs (£),Indirect accommodation subsidies (£),Estates and property maintenance (£),Grounds and gardens maintenance (£),Electro Bio Medical Equipment maintenance (£),Other Hard FM (Estates) costs (£),Other Soft FM (Hotel Services) costs (£),Management (Hard and Soft FM) costs (£),PFI Contractor (SPV) costs (£),PFI Management (Trust) costs (£),Gross internal floor area (m²),NHS estate occupied floor area (%),Site heated volume (m³),Land area owned (Hectares),Land area not delivering services (Hectares),Private patient (m²),Pathology (m²),Clinical Sterile Services Dept. (CSSD) (m²),Clinical space - other (m²),Medical records (m²),Human Resources (m²),Information Technology (m²),General Administration (m²),Restaurants (m²),Staff Accommodation (m²),Non-clinical space - other (m²),Retail sales area (m²),111 Contact Centre (m²),999 Contact Centre (to include empty & fall back desks) (m²),PTS Contact Centre (m²),Hub (make ready station) (m²),Spoke (m²),Ambulance Station (excludes deployment points with no premises costs) (m²),Ambulance Station (PTS) (m²),Training (m²),Corporate (m²),Fleet Workshop (m²),HART (Hazardous Area Response Team) (m²),Masts (m²),Logistics Store (m²),Other (m²),Not functionally suitable - occupied floor area (%),Not functionally suitable - clinical space (%),Floor area - empty (%),Floor area - under used (%),Single bedrooms for patients with en-suite facilities (No.),Single bedrooms for patients without en-suite facilities (No.),Isolation rooms (No.),Cost to eradicate high risk backlog (£),Cost to eradicate significant risk backlog (£),Cost to eradicate moderate risk backlog (£),Cost to eradicate low risk backlog (£),Age profile - 2015 to 2024 (%),Age profile - 2005 to 2014 (%),Age profile - 1995 to 2004 (%),Age profile - 1985 to 1994 (%),Age profile - 1975 to 1984 (%),Age profile - 1965 to 1974 (%),Age profile - 1955 to 1964 (%),Age profile - 1948 to 1954 (%),Age profile - pre 1948 (%),CHP units operated on the site (No.),CHP unit/s size - electrical (watts),CHP unit/s size - thermal (watts),CHP unit/s efficiency (%),Fossil energy input to CHP system/s (kWh),Thermal energy output of CHP system/s (kWh),Electrical energy output of CHP system/s (kWh),Exported electricity (kWh),Exported thermal energy (kWh),Have you dumped/discharged energy in the last year (Yes/No),How many kWh were discharged to waste (kWh),Electricity costs (£),Electricity consumed (kWh),Gas costs (£),Gas consumed (kWh),Oil costs (£),Oil consumed (kWh),Coal costs (£),Coal consumed (kWh),Electricity costs - green energy tariff (£),Electricity consumed - green energy tariff (kWh),Electricity costs - third party owned renewable (£),Electricity consumed - third party owned renewable (kWh),Non-fossil fuel costs - renewable (£),Non-fossil fuel consumed - renewable (kWh),Other energy costs (£),Steam consumed (kWh),Hot water consumed (kWh),Electrical energy output of owned onsite renewables (kWh),PFI Contractor (SPV) costs (£),PFI Management (Trust) costs (£),Water and sewerage cost (£),Water volume (including borehole) (m³),PFI Contractor (SPV) costs (£),PFI Management (Trust) costs (£),Incineration (clinical waste) cost (£),Incineration (clinical waste) volume (Tonnes),Alternative Treatment (clinical waste) cost (£),Alternative Treatment (clinical waste) volume (Tonnes),Offensive waste cost (£),Offensive waste volume (Tonnes),Clinical waste processed on site cost (£),Clinical waste processed on site volume (Tonnes),Domestic waste (landfill) cost (£),Domestic waste (landfill) volume (Tonnes),Domestic waste (recycling) cost (£),Domestic waste (recycling) volume (Tonnes),Domestic waste (food) cost (£),Domestic waste (food) volume (Tonnes),Domestic waste (textiles) cost (£),Domestic waste (textiles) volume (Tonnes),Domestic waste (incineration) cost (£),Domestic waste (incineration) volume (Tonnes),Domestic waste processed on site cost (£),Domestic waste processed on site volume (Tonnes),Confidential waste cost (£),Confidential waste volume (Tonnes),Other waste costs (£),PFI Contractor (SPV) costs (£),PFI Management (Trust) costs (£),Car parking services cost (£),Parking spaces available (No.),Designated disabled parking spaces (No.),Electric vehicle charging points (No.),Average fee charged per hour for patient/visitor parking (£),Average fee charged per hour for staff parking (£),Is there a charge for disabled parking (Yes/No/None),PFI Contractor (SPV) costs (£),PFI Management (Trust) costs (£),Cleaning service cost (£),Cleaning staff (WTE),PFI Contractor (SPV) costs (£),PFI Management (Trust) costs (£),Inpatient food service cost (£),Inpatient main meals requested (No.),Hostess meal service (Select),PFI Contractor (SPV) costs (£),PFI Management (Trust) costs (£),Laundry and linen service used (Select),Laundry service cost (£),Linen service cost (£),Laundered pieces per annum (No.),Onsite laundry (Select),PFI Contractor (SPV) costs (£),PFI Management (Trust) costs (£),Portering service cost (£),Portering staff (WTE),PFI Contractor (SPV) costs (£),PFI Management (Trust) costs (£)
R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,NORTH WEST COMMISSIONING REGION,ACUTE - TEACHING,R0A01,ISLAND SITE,1. General acute hospital,2. Whole site - Private Finance Initiative (PFI),,M13 9WL,"8,524,748","10,056,305","11,956,352","3,833,669","29,537,776",0,Not Applicable,"9,701,666","220,454","2,533,222","152,043","5,364,482","996,579",0,"2,629,829","292,119",100,"823,776",6,0,504,"11,687","1,812","116,446",543,544,172,"9,042",720,0,"71,312","1,684",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,5,0,291,26,71,"275,000","5,946,156","4,214,957","10,462,956",0,0,88.94,4.69,0.38,0.38,0,0,5.61,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,"6,391,316","53,112,641","2,161,994","88,643,074","19,500","280,800",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"941,361","346,342",0,0,"238,863",487.37,"318,877",641.63,"298,159",600.03,0,0,0,0,"25,099",133.85,"25,421",134.59,0,0,"266,190","1,409.31",0,0,"41,540",298.97,"507,182.00",0,0,"2,345,580","4,279",263,15,0.83,0.13,No,0,0,"9,493,590",232.61,0,0,"5,512,105","1,194,159",Partial hostess service,0,0,1. Contracted – Full service,"2,423,942",Not Applicable,"5,604,815",No,0,0,"2,467,811",73.7,0,0
R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,NORTH WEST COMMISSIONING REGION,ACUTE - TEACHING,R0A07,WYTHENSHAWE HOSPITAL,1. General acute hospital,2. Whole site - Private Finance Initiative (PFI),,M23 9LT,"5,882,643","5,688,278","2,065,998","1,896,341","8,439,166",0,Not Applicable,"5,217,648",0,"1,561,109","866,946","4,612,594","672,407",0,0,"124,998",99,"275,886",28,0,0,"3,099",738,"75,328",0,217,196,"1,356",411,0,"43,452",201,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,37,17,0,7,174,130,4,0,"10,660,284","7,486,313","5,752,741",0,36.51,6.35,17.46,0,28.57,3.17,0,7.94,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,"2,443,855","20,770,373","916,234","39,334,764","2,250","32,400",0,0,0,0,0,0,0,0,0,0,0,"90,927",0,0,"631,479","190,297",0,0,"39,237",93.2,"264,069",895.15,"6,951",33.42,0,0,0,0,"8,695",66.88,0,0,0,0,"91,035",700.27,0,0,"53,175",148.51,"628,509.00",0,0,"342,867","3,026",100,6,1.5,0.08,No,0,0,"8,282,519",268.09,0,0,"3,786,624","943,304",Complete hostess service,0,0,1. Contracted – Full service,"1,821,161",Not Applicable,"4,175,351",No,0,0,"2,514,038",84.35,0,0
R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,NORTH WEST COMMISSIONING REGION,ACUTE - TEACHING,R0A09,TRAFFORD GENERAL HOSPITAL,1. General acute hospital,1. Freehold,,M41 5SL,"851,707","829,262","77,952","613,138",0,0,Not Applicable,"1,466,391","15,036","137,036",0,"1,366,409","301,950",Not Applicable,Not Applicable,"46,818",100,"132,027",9.54,3.2,0,195,163,"32,806",366,49,146,"1,650","1,168",0,"10,275",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,14,6,6,0,32,2,0,0,"6,023,208","1,384,910","2,887,940",0,2.17,9.49,28.67,20.8,12.57,1.65,1.62,23.03,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,"707,191","5,670,572","427,460","12,214,869","2,040","29,376",0,0,0,0,0,0,0,0,0,0,0,0,Not Applicable,Not Applicable,"218,212","52,024",Not Applicable,Not Applicable,"9,220",16.66,"18,311",59,"29,400",56.88,0,0,0,0,"11,147",46.47,"5,787",54.3,0,0,"28,952",102.06,0,0,"8,336",60,0,Not Applicable,Not Applicable,"55,409",864,42,2,0,0.09,No,Not Applicable,Not Applicable,"1,652,261",43.71,Not Applicable,Not Applicable,"788,729","215,024",Partial hostess service,Not Applicable,Not Applicable,1. Contracted – Full service,"226,269",Not Applicable,"620,209",Not Applicable,Not Applicable,Not Applicable,"440,810",14.8,Not Applicable,Not Applicable
R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,NORTH WEST COMMISSIONING REGION,ACUTE - TEACHING,R0A47,DERMOTT MURPHY CLOSE - LONG STAY UNIT,8. Other inpatient,1. Freehold,,M20 1FQ,0,0,"173,626",0,0,0,Not Applicable,0,0,0,"6,644","1,621","6,031",Not Applicable,Not Applicable,"1,717",100,"4,636",0,0,0,0,0,"1,717",0,0,0,0,0,0,0,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,"10,187","81,947","9,388","403,298",0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not Applicable,Not Applicable,"9,387","1,798",Not Applicable,Not Applicable,842,2,"5,299",15.32,0,0,0,0,0,0,0,0,0,0,0,0,"1,647",12.67,0,0,103,0.29,0,Not Applicable,Not Applicable,"4,798",14,4,0,1.5,0.08,No,Not Applicable,Not Applicable,"67,996",4.28,Not Applicable,Not Applicable,"111,493","24,090",Complete hostess service,Not Applicable,Not Applicable,1. Contracted – Full service,"22,394",Not Applicable,"62,002",No,Not Applicable,Not Applicable,0,0,Not Applicable,Not Applicable
R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,NORTH WEST COMMISSIONING REGION,ACUTE - TEACHING,R0A49,BUCCLEUCH LODGE,8. Other inpatient,1. Freehold,,M20 2XA,"58,586","54,046",0,0,0,0,Not Applicable,"79,554",0,0,"7,406","1,807","6,723",Not Applicable,Not Applicable,"1,914",100,"5,168",0,0,0,0,0,"1,914",0,0,0,0,0,0,0,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,"16,475","119,475","16,453","602,246",0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not Applicable,Not Applicable,"15,148","4,463",Not Applicable,Not Applicable,"1,023",2.43,466,1.2,0,0,0,0,0,0,0,0,0,0,0,0,129,0.99,0,0,103,0.29,0,Not Applicable,Not Applicable,"5,348",217,0,0,1.5,0.08,No,Not Applicable,Not Applicable,"75,798",2.88,Not Applicable,Not Applicable,"67,673","15,330",Complete hostess service,Not Applicable,Not Applicable,1. Contracted – Full service,"10,743",Not Applicable,"29,743",No,Not Applicable,Not Applicable,"21,974",1,Not Applicable,Not Applicable
R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,NORTH WEST COMMISSIONING REGION,ACUTE - TEACHING,R0AORS,OTHER REPORTABLE SITES,Other Reportable Site,,,M13 9WL,"884,050","851,491","897,456","817,516",0,0,0,"1,282,452","19,189","215,338","153,134","929,240","171,764",Not Applicable,Not Applicable,"62,469",100,"98,514",Not Applicable,Not Applicable,0,32,0,"27,083","2,005",0,50,481,0,0,"18,205",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0.47,1.11,0,0,0,0,0,0,0,0,38.04,2.17,11.96,15.22,9.78,6.52,1.09,15.22,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,"545,771","3,740,757","226,797","8,288,716","2,021","29,095",0,0,0,0,0,0,0,0,0,0,0,"8,871",Not Applicable,Not Applicable,"200,084","25,717",Not Applicable,Not Applicable,"11,849",24.8,"5,376",17.39,"15,712",29.97,0,0,0,0,"7,221",46.57,0,0,"2,216",10.15,"23,251",131.16,0,0,"2,225",14.17,"13,300.00",Not Applicable,Not Applicable,"39,726",309,30,4,0,0.09,No,Not Applicable,Not Applicable,"1,414,759",25.01,Not Applicable,Not Applicable,0,0,No hostess,Not Applicable,Not Applicable,1. Contracted – Full service,"57,057",Not Applicable,"128,978",No,Not Applicable,Not Applicable,"342,013",7.26,Not Applicable,Not Applicable
R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST ,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,ACUTE - LARGE,R0B01,SUNDERLAND ROYAL HOSPITAL,1. General acute hospital,1. Freehold,,SR7 4TP,"3,598,810","4,501,916",0,"1,958,802","987,832","204,972",Not Applicable,"3,877,156","82,558","2,792,394","421,272","4,782,909","187,408",Not Applicable,Not Applicable,"125,398",98.67,"305,451",11.33,0,0,357,908,"95,657","1,493",419,"1,263","1,436","1,482",100,"20,734",25,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,1.25,0,123,114,61,"503,700","1,771,500","1,972,450","2,473,607",1.84,24.11,24.39,10.27,30.91,1.07,0.28,0,7.13,1,"1,500,000","1,667,000",73,"20,500,788","6,681,000","8,293,758",0,0,Yes,"4,174,000","1,138,731","7,917,626","1,037,756","45,213,852","12,691","152,134",0,0,0,0,0,0,0,0,0,0,0,0,Not Applicable,Not Applicable,"495,087","195,746",Not Applicable,Not Applicable,"40,186",32.43,"130,838",74,"150,040",398,0,0,0,0,"38,059",453,0,0,0,0,"53,810",292,0,0,"13,127",66,"289,370.00",Not Applicable,Not Applicable,"33,900","1,714",86,28,1.33,0.18,Yes,Not Applicable,Not Applicable,"4,679,000",188,Not Applicable,Not Applicable,"2,519,614","1,028,762",Partial hostess service,Not Applicable,Not Applicable,4. Hybrid,1,"1,115,036","4,094,567",No,Not Applicable,Not Applicable,"2,095,762",86.4,Not Applicable,Not Applicable
R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST ,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,ACUTE - LARGE,R0B0Q,SOUTH TYNESIDE DISTRICT HOSPITAL,1. General acute hospital,1. Freehold,,NE34 0PL,"2,097,565","1,951,274",0,"656,000","76,188",0,Not Applicable,"2,256,005","102,007","463,238","63,981","2,072,918","404,734",Not Applicable,Not Applicable,"53,442",85.48,"109,445",14.04,2,0,456,605,"24,915",775,310,580,"5,831",501,0,"11,710",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,12.6,13.6,17.4,1.5,48,42,10,"311,610","4,394,720","6,257,667","1,221,004",0.81,0,5.19,43.95,1.39,23.11,0,0,25.55,1,"531,000","630,000",76,"7,980,321","3,326,810","2,741,575",0,0,Yes,"660,550","487,126","3,437,637","697,194","25,744,420","32,332","528,434",0,0,0,0,0,0,0,0,"116,795",0,0,0,Not Applicable,Not Applicable,"315,161","91,110",Not Applicable,Not Applicable,"50,377",31.24,"33,421",69.63,"22,701",129.36,0,0,0,0,"6,485",97.58,0,0,0,0,"24,513",224.96,0,0,"24,094",38.1,"213,838.00",Not Applicable,Not Applicable,"12,850",876,32,0,1.5,0.09,None,Not Applicable,Not Applicable,"2,155,740",82.83,Not Applicable,Not Applicable,"1,639,098","266,042",Complete hostess service,Not Applicable,Not Applicable,1. Contracted – Full service,"452,536",Not Applicable,"1,214,072",No,Not Applicable,Not Applicable,"1,294,895",45.73,Not Applicable,Not Applicable
R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST ,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,ACUTE - LARGE,R0B0RS,OTHER REPORTABLE SITES,Other Reportable Site,,,,"297,904","348,185","5,413,948","406,615",0,"20,672",0,"189,151",0,"126,927","28,953","242,647","100,463",Not Applicable,Not Applicable,"32,604",94.69,"88,502",Not Applicable,Not Applicable,0,0,0,"20,172",384,0,30,"6,108",0,0,"5,291",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,10.48,2.73,2.45,1.88,24,10,0,"890,761","1,778,650","1,231,483","1,030,859",33.33,9.62,17.32,14.34,18.63,1.92,1.66,0.33,2.85,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,"327,091","1,899,455","147,380","4,078,141",0,410,0,0,0,0,0,0,0,0,131,0,0,0,Not Applicable,Not Applicable,"47,744","9,646",Not Applicable,Not Applicable,"1,798",1.36,"4,762",3.87,"11,207",58.99,0,0,0,0,"9,292",38.86,0,0,0,0,"6,283",35.33,0,0,"4,921",12.11,"3,078.00",Not Applicable,Not Applicable,300,411,18,4,1.42,0.14,No,Not Applicable,Not Applicable,"219,035",10.48,Not Applicable,Not Applicable,0,0,No hostess,Not Applicable,Not Applicable,1. Contracted – Full service,"9,539",Not Applicable,"32,895",No,Not Applicable,Not Applicable,"50,598",2.04,Not Applicable,Not Applicable
R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST ,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,ACUTE - LARGE,R0B0U,ST BENEDICT'S HOSPICE (MONKWEARMOUTH HOSPITAL),8. Other inpatient,1. Freehold,,SR2 0NY,"225,474","368,421",0,"134,820",0,0,Not Applicable,"68,451",0,0,"4,678","26,573","29,592",Not Applicable,Not Applicable,"3,193",100,"7,703",2.88,0,0,0,0,"1,886",0,0,0,613,0,0,694,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,9.9,14,0,0,0,0,"105,000","55,000",0,100,0,0,0,0,0,0,0,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,"57,740","324,847","31,959","607,247",393,"8,164",0,0,0,0,0,0,0,0,0,0,0,"50,879",Not Applicable,Not Applicable,"12,527","2,690",Not Applicable,Not Applicable,257,0.27,171,0.36,116,0.66,0,0,0,0,"1,476",7.37,0,0,0,0,"2,491",16.7,0,0,656,1.33,0,Not Applicable,Not Applicable,0,74,5,1,0,0,None,Not Applicable,Not Applicable,"167,756",6.04,Not Applicable,Not Applicable,"130,710","14,594",Complete hostess service,Not Applicable,Not Applicable,1. Contracted – Full service,"17,514",Not Applicable,"48,533",No,Not Applicable,Not Applicable,"55,737",2,Not Applicable,Not Applicable
